tweet_id,created_at,username,text,likes,retweets,search_term,views,comments,is_parody 
68,2026-07-09,IzmrlBrnvl35,Bir halkın özgürlük umutlarıdır Fenerbahçe #Fenerbahçe Mason Greenwood Fenerbahçeli Tarık Lookman Lesley Ugochukwu Fabrizio Yağız Sabuncuoğlu Aziz Yıldırım Nathan Aké Lesley Ugochukwu Burhan Can Terzi Asensio Galatasaray #Galatasaray Dursun Özbek Erden Timur,12.0,6.0,#Galatasaray,758.0,0.0,0.0
69,2026-07-05,ContextOfGALA,Günaydın CimBom Ailesi #GalataSaray #UCL,151.0,8.0,#Galatasaray,1218.0,10.0,0.0
70,2026-07-06,cimbomtalk,Galatasaray'da Transfer Gündemi İyi yönetiliyor muyuz?,0.0,1.0,#Galatasaray,17.0,0.0,0.0
71,2026-06-24,klimaligozluk,"#Galatasaray Can Uzun için harekete geçti! Önümüzdeki hafta Frankfurt’la resmi görüşme bekleniyor. Okan Buruk ısrarla istiyor, oyuncu da Galatasaray’a sıcak bakıyor  40M€ civarı hedefleniyor. Bomba gelecek mi?",24.0,1.0,#Galatasaray,940.0,1.0,0.0
72,2026-07-10,forzacimbom,Ugochukwu X Galatasaray (Nevzat Dindar) 5 milyon euro kiralama Satın alma opsiyonu: 25 milyon euro (belirli maç,126.0,5.0,#Galatasaray,12800.0,28.0,0.0
73,2026-07-10,zatilgan41,Kazık kazık kazık yazıklar olsun bir işi ucuza halledin,0.0,0.0,#Galatasaray,309.0,1.0,0.0
74,2026-07-10,Serkan61467372,Meğer ne kadar burnley maçlarını izleyen varmış bizim memlekette herkes scoutmus megrosem ayaklari kotuymus hava topu bol degilmis kazmaymis teknigi yokmus ismail bundan iyiymis 32 yasinda bitik hakana 14 lira maas verenler alkislaniyor lan bu memlekette,0.0,0.0,#Galatasaray,24.0,0.0,0.0
75,2026-07-10,syisteall,dün biten bisey yok gelmiyor falan dedin simdi dediğine bak gotun basin ayri oynuyo nevzat,2.0,0.0,#Galatasaray,398.0,0.0,0.0
76,2026-07-10,v76yf,yağız bile 2 milyon kiralama demiş bu gelmis 5 milyon diyor kafayı yersin ya,12.0,0.0,#Galatasaray,579.0,1.0,0.0
77,2026-07-10,Anilbenq,5 değildir ya!,0.0,0.0,#Galatasaray,493.0,0.0,0.0
78,2026-07-10,Hakcemm34,Nedense videolarından ısınamadım Çok düz geldi bana,0.0,0.0,#Galatasaray,183.0,0.0,0.0
79,2026-07-10,oyiekeyfime,25i vermemek için son maçını Şubat ayında oynar gibi geldi,0.0,0.0,#Galatasaray,99.0,0.0,0.0
80,2026-07-10,Eren3735,dün biten bir şey yok dedi bugün rakam yazıyor şerefsiz sizin gibi az bile yapıyor zaten çoğu beni engelledi umarım hepsi engeller,1.0,0.0,#Galatasaray,290.0,0.0,0.0
81,2026-07-10,cardi9989,30 istenen adamı pazarlıkla 30'a almışlar,7.0,0.0,#Galatasaray,452.0,0.0,0.0
82,2026-07-10,DemirEren96835,Yok 100 kiralama nevzat a kimse inanmıyor artık paylaşmayın,0.0,0.0,#Galatasaray,300.0,0.0,0.0
83,2026-07-10,293455_b,yetişin dostlar gesenin kasasını boşaltıyorlarrrrr,0.0,0.0,#Galatasaray,158.0,0.0,0.0
84,2026-07-10,metinizde,Dün gece herkes transfer bitmek üzere yazarken biten bir şey yok diye kendince olumsuz basan adam sabahında gazetesine haberi son detaylar konuşuluyor şeklinde girmiş. Bizde mi sorun var yoksa dalga mı geçiyorlar anlam veremedim,0.0,0.0,#Galatasaray,59.0,0.0,0.0
85,2026-07-10,Kemal455345,Yok 10 milyon euro kiralama,0.0,0.0,#Galatasaray,12.0,0.0,0.0
86,2026-07-10,brianbirch15_,Oha 5 milyon kiralama mı olur,0.0,0.0,#Galatasaray,4.0,0.0,0.0
87,2026-07-10,f_MuhammedAli_1,Kabul edildim!,0.0,0.0,#Galatasaray,305.0,0.0,0.0
88,2026-07-10,yylit185156,Nevzat ısrarla herkesten farklı haber görür bu konuda böyle neden acaba,0.0,0.0,#Galatasaray,122.0,0.0,0.0
89,2026-07-10,sula80103,Yönetim yorumcularının haberlerine inanmıyın,0.0,0.0,#Galatasaray,26.0,0.0,0.0
90,2026-07-10,Aslannnnnn19055,Ya bu adam rakam bilmiyor,0.0,0.0,#Galatasaray,48.0,0.0,0.0
91,2026-07-10,mmeliss85,Dün yalanlıyordu,0.0,0.0,#Galatasaray,71.0,0.0,0.0
92,2026-07-10,oniiygalaaaa,Hani 2m la,0.0,0.0,#Galatasaray,143.0,0.0,1.0
93,2026-07-10,InsaneHuseyin,"André Luiz 20 yaşında orta saha 8 numera, ofansif hem defansif yönleri var. Dinamik, güçlü, agresif ve direk, teknik bir oyuncu. Bizim #Galatasaray için faydalı olur. @EmreUtkucan @ibrahimhatip @abdullahkavukcu dünya kupasını bırakın böyle oyuncular var hazır",32.0,2.0,#Galatasaray,2000.0,1.0,0.0
94,2026-07-10,SaltFutbol90,#Galatasaray'da orta saha transferi Ugochukwu'yla sınırlı değil. Gabriel Sara'nın istenen bir bonservisle ayrılması halinde 'baba orta saha' konusunda yeniden gaza basılacak. Camavinga hala 1 numaralı aday Real Madrid tarafı 55 milyon euro bonservis istiyor.,102.0,5.0,#Galatasaray,9000.0,4.0,0.0
95,2026-07-10,rotten_willow,Galatasaray Sara'yı satmayı düşünmüyor bunu 100000 defa söyledim.,0.0,0.0,#Galatasaray,302.0,0.0,0.0
96,2026-07-10,ahsn1923,Kesinlikle lazım olan isim reijders. 10 numaraya can uzun alırım orta saha alırım @GalatasaraySK,0.0,0.0,#Galatasaray,10.0,0.0,0.0
